id,foreignId,high,low,Volume,last,unixTimestamp,bid,ask,openBuys,openSells,prevDay
153,169,0.00034252,0.000328,9526.32722862,0.000332,1562719882,0.000332,0.00033381,94,250,0.00034252
154,186,0.00001009,0.00000901,873428.07909231,0.00000921,1562719882,0.00000941,0.00000999,32,101,0.00000913
155,175,0.00096482,0.0009189,8988.88109899,0.00093459,1562719882,0.00092595,0.00095395,56,636,0.000926
156,273,0.00002117,0.00002016,15445.54375004,0.00002117,1562719882,0.0000205,0.00002435,9,14,0.00002016
157,101,0.05748428,0.04612215,3591.32213373,0.05287177,1562720133,0.05259799,0.05296842,104,230,0.04693139
158,179,0.00328,0.00315,25219.95751589,0.0031968,1562720133,0.00318207,0.00321676,90,190,0.0031896
159,155,0.00043955,0.00042449,749.41486793,0.00043242,1562720133,0.00042958,0.00043757,23,143,0.00043614
160,178,0.00011245,0.0001063,1408671.59044979,0.00011001,1562720133,0.00011005,0.00011044,176,497,0.00010955
161,280,2.465,2.26406471,71.62954408,2.42231761,1562720133,2.3962806,2.46499999,31,20,2.29854285
162,146,0.0000908,0.0000878,893213.86365918,0.00008972,1562720133,0.0000894,0.00008958,87,148,0.0000908
163,170,0.00213,0.00197001,4287.38043905,0.00213,1562720133,0.00210926,0.00215552,57,97,0.00207
164,182,0.000575,0.00056217,1889.9556121,0.00056378,1562720133,0.00054855,0.00059,25,97,0.000575
165,149,0.01953826,0.01895855,794.71295582,0.0194,1562720133,0.01919387,0.01942346,103,191,0.01942346
166,144,0.00232161,0.00232161,323.80427266,0.00232161,1562720133,0.00228456,0.00246853,36,77,0.00232161
167,133,0.07659083,0.07245271,293.80068858,0.07592423,1562720133,0.0724416,0.077,48,110,0.07659083
168,157,0.00023687,0.00022479,104424.84682191,0.00023321,1562720133,0.00023101,0.00023321,160,354,0.00023201
169,183,0.00026605,0.00025758,76698.86570398,0.00026131,1562720133,0.00026122,0.00026131,45,281,0.000262
170,212,0.00000267,0.00000256,11057191.72492109,0.00000262,1562720133,0.0000026,0.00000262,19,180,0.00000267
171,73,0.00033674,0.00032423,295658.73408255,0.00032423,1562720133,0.000324,0.00032558,212,732,0.00033674
172,152,0.00067395,0.00061816,31730.88967673,0.00062497,1562720133,0.00061788,0.00064965,32,400,0.0006728
173,248,0,0,0,0,1562720133,0.00002855,0.0000308,23,48,0
174,265,0.00119674,0.00113119,5582.39706096,0.00119674,1562720133,0.0011768,0.00119674,32,62,0.00113896
175,95,0.00265,0.00257,1634.79796448,0.00258,1562720133,0.00257,0.00263999,196,552,0.00263
176,167,0.0001485,0.0001182,199252.36854559,0.00014066,1562720133,0.00013135,0.00014844,25,38,0.00011854
177,281,0.0033247,0.00314974,1677.75520742,0.00316938,1562720133,0.00300001,0.00332468,18,3,0.00316639
178,2,0.39490837,0.38220604,1114.09153799,0.38220604,1562720133,0.38211548,0.38315676,342,371,0.39383265
179,174,0.00024508,0.00022218,422429.09347369,0.00022453,1562720133,0.000224,0.00022535,52,276,0.000244
180,48,0.00129875,0.00126597,498448.86577301,0.0012669,1562720134,0.00126779,0.00127124,203,1124,0.00129875
181,171,0.0000576,0.00005455,6070.24613092,0.00005624,1562720134,0.00005624,0.00005857,43,172,0.0000576
182,159,0.01591413,0.01531407,1808.79220949,0.01550941,1562720134,0.01540308,0.01547807,241,241,0.01583811
183,225,0.00114095,0.00102135,126144.05360368,0.00104713,1562720134,0.00103665,0.0010493,64,118,0.00106094
184,25,0.331,0.32085093,159.12174745,0.32223511,1562720134,0.32103904,0.3228779,172,362,0.32631679
185,266,0.016986,0.016,2424.33178095,0.01621428,1562720134,0.01568397,0.01630307,21,85,0.016343
186,140,0.00096886,0.0009294,104472.22423201,0.00095762,1562720134,0.0009546,0.00096001,137,452,0.00095819
187,90,0.00613,0.00581073,12440.99322673,0.00586,1562720134,0.00583842,0.00586,101,419,0.00603907
188,105,0.057,0.0554,1709.09918094,0.0557,1562720134,0.0556,0.05572206,543,609,0.05596978
189,9,0.51469952,0.49993916,172.02010386,0.50399426,1562720134,0.50284701,0.5057927,110,504,0.51469952
190,38,0.00004396,0.00003953,1737748.66810462,0.00004286,1562720134,0.00004275,0.00004292,156,446,0.00004089
191,160,1.35852741,1.3341774,213.0454115,1.34,1562720134,1.34,1.34287185,266,410,1.34061457
192,94,0.02581801,0.025,4081.05966781,0.02536447,1562720134,0.025322,0.02553035,138,596,0.02548096
193,162,0.00025699,0.00024972,2060858.07425782,0.00024996,1562720134,0.00024954,0.00024996,297,1134,0.00025639
194,126,0.00030001,0.00028813,113568.35098704,0.00028957,1562720134,0.00028997,0.00029279,79,402,0.00030001
195,190,0.00000722,0.00000695,112426.75422935,0.00000712,1562720134,0.0000071,0.00000722,30,193,0.00000697
196,221,0.67709244,0.649,139.66181395,0.66653092,1562720134,0.6587976,0.66442364,130,183,0.658
197,106,0.33842722,0.32210511,268.18305761,0.32496372,1562720134,0.32326827,0.32452291,199,384,0.3380194
198,137,0.0026,0.00233,5102.46401882,0.0026,1562720134,0.00242003,0.00265001,94,114,0.0024
199,173,0.00007298,0.00006989,3084.13646832,0.00007298,1562720134,0.00006997,0.00007885,18,241,0.0000726
200,156,0.00812266,0.00785796,7865.70537342,0.00794467,1562720134,0.00790971,0.00800957,89,256,0.00812266
201,163,0.0001785,0.00016258,246430.96660859,0.00016897,1562720134,0.00016796,0.00016928,79,246,0.00016258
202,60,0.00029832,0.00028482,171774.23893263,0.0002903,1562720134,0.0002879,0.00029129,120,294,0.00029832
203,139,0.00001104,0.00001035,22451208.84692231,0.0000108,1562720134,0.00001074,0.00001089,89,671,0.00001047
204,287,0.0193,0.0189,291.17842817,0.019,1562720134,0.01890003,0.01899281,91,18,0.0189
205,169,0.00034252,0.000328,9526.32722862,0.000332,1562720134,0.000332,0.00033534,95,249,0.00034252
206,186,0.00001009,0.00000901,873428.07909231,0.00000921,1562720134,0.00000885,0.00000999,31,101,0.00000913
207,175,0.00096482,0.0009189,8988.88109899,0.00093459,1562720134,0.0009236,0.00094238,56,638,0.000926
208,273,0.00002117,0.00002016,15445.54375004,0.00002117,1562720134,0.0000205,0.00002435,9,14,0.00002016
209,101,0.05748428,0.04612215,3591.32213373,0.05287177,1562720163,0.05259799,0.05295782,107,230,0.04693139
210,179,0.00328,0.00315,25219.95751589,0.0031968,1562720163,0.00318288,0.00321663,89,190,0.0031896
211,155,0.00043955,0.00042449,749.41486793,0.00043242,1562720163,0.00042959,0.00043753,23,143,0.00043614
212,178,0.00011245,0.0001063,1408671.59044979,0.00011001,1562720163,0.00010992,0.00011038,176,498,0.00010955
213,280,2.465,2.26406471,71.62954408,2.42231761,1562720163,2.39628067,2.46499999,28,19,2.29854285
214,146,0.0000908,0.0000878,893213.86365918,0.00008972,1562720163,0.0000894,0.00008958,87,148,0.0000908
215,170,0.00213,0.00197001,4287.38043905,0.00213,1562720163,0.00210946,0.00215277,56,98,0.00207
216,182,0.000575,0.00056217,1889.9556121,0.00056378,1562720163,0.00055956,0.00059,27,97,0.000575
217,149,0.01953826,0.01895855,794.71295582,0.0194,1562720163,0.01919387,0.01942346,103,192,0.01942346
218,144,0.00232161,0.00232161,323.80427266,0.00232161,1562720163,0.00228475,0.00246998,35,76,0.00232161
219,133,0.07659083,0.07245271,293.80068858,0.07592423,1562720163,0.07257583,0.077,49,110,0.07659083
220,157,0.00023687,0.00022479,104424.84682191,0.00023321,1562720163,0.000231,0.00023321,161,354,0.00023201
221,183,0.00026605,0.00025758,76698.86570398,0.00026131,1562720163,0.00026122,0.00026131,45,281,0.000262
222,212,0.00000267,0.00000256,11057191.72492109,0.00000262,1562720163,0.0000026,0.00000262,19,180,0.00000267
223,73,0.00033674,0.00032423,295658.73408255,0.00032423,1562720163,0.00032399,0.00032555,210,731,0.00033674
224,152,0.00067395,0.00061816,31730.88967673,0.00062497,1562720163,0.00061788,0.00064951,30,400,0.0006728
225,248,0,0,0,0,1562720163,0.00002755,0.00003518,22,47,0
226,265,0.00119674,0.00113119,5582.39706096,0.00119674,1562720163,0.00117676,0.00119674,31,62,0.00113896
227,95,0.00265,0.00257,1634.79796448,0.00258,1562720163,0.00257,0.00263999,195,552,0.00263
228,167,0.0001485,0.0001182,199252.36854559,0.00014066,1562720163,0.00013169,0.00014844,25,38,0.00011854
229,281,0.0033247,0.00314974,1677.75520742,0.00316938,1562720163,0.00300001,0.00332468,18,3,0.00316639
230,2,0.39490837,0.38220604,1114.09153799,0.38220604,1562720163,0.38211548,0.38315676,344,368,0.39383265
231,174,0.00024508,0.00022218,422429.09347369,0.00022453,1562720163,0.000224,0.00022531,51,275,0.000244
232,48,0.00129875,0.00126597,498448.86577301,0.0012669,1562720163,0.00126778,0.00127001,202,1126,0.00129875
233,171,0.0000576,0.00005455,6070.24613092,0.00005624,1562720163,0.00005624,0.00005857,42,172,0.0000576
234,159,0.01591413,0.01531407,1808.79220949,0.01550941,1562720163,0.0154,0.0154719,239,241,0.01583811
235,225,0.00114095,0.00102135,126144.05360368,0.00104713,1562720163,0.00104004,0.00104852,67,118,0.00106094
236,25,0.331,0.32085093,159.12174745,0.32223511,1562720163,0.32103904,0.32287761,171,361,0.32631679
237,266,0.016986,0.016,2424.33178095,0.01621428,1562720163,0.01568397,0.01630305,21,85,0.016343
238,140,0.00096886,0.0009294,104472.22423201,0.00095762,1562720164,0.0009546,0.00096001,137,452,0.00095819
